family,concurrency,resolved_algorithm,verify_per_sec_mean,p50_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_max,worker_errors_sum,latency_truncated_any
ML-DSA-65,1,ML-DSA-65,36145.32313930768,0.026370333368201198,0.03418366668483941,0.037267000076705394,0.5526549998648989,0,False
ML-DSA-65,8,ML-DSA-65,73283.06983158398,0.0375303332778761,0.37703724992373583,0.7376618232387956,6.283344999928886,0,False
ML-DSA-65,10,ML-DSA-65,72662.68295147058,0.03766700001506251,0.5302847333041426,1.0001200233258078,4.657871000063096,0,False
ML-DSA-65,12,ML-DSA-65,72332.69857856387,0.03777400002036302,0.7979057833722435,2.0146193000891794,11.727168999868809,0,False
ML-DSA-65,16,ML-DSA-65,71350.18899340529,0.0378769999921739,1.0893760000196078,1.8400846199923158,7.209874000182026,0,False
ML-DSA-65,24,ML-DSA-65,67287.58584769428,0.03979333329577154,1.5315255667474044,2.9221028166421075,13.30793699980859,0,False
ML-DSA-65,32,ML-DSA-65,67450.6384967334,0.03904400015623347,2.1076874499764604,3.7704146334347866,16.827957999794307,0,False
SLH-DSA/SPHINCS+-SHA2-128f-simple,1,SPHINCS+-SHA2-128f-simple,3151.059847021952,0.3145466668380929,0.3337403334095749,0.340257270058828,0.8221369998864247,0,False
SLH-DSA/SPHINCS+-SHA2-128f-simple,8,SPHINCS+-SHA2-128f-simple,22555.043171941878,0.35148000006302027,0.37562633345563273,0.39066457661192544,3.5850809999828925,0,False
SLH-DSA/SPHINCS+-SHA2-128f-simple,16,SPHINCS+-SHA2-128f-simple,22232.137133156662,0.35415266665950185,3.365631616550975,5.362317596623142,25.231876999896485,0,False
SLH-DSA/SPHINCS+-SHA2-128f-simple,32,SPHINCS+-SHA2-128f-simple,21398.543875130985,0.35852966660362046,7.91294630009057,14.568641426714432,49.86761200007095,0,False
SLH-DSA/SPHINCS+-SHA2-128f-simple,64,SPHINCS+-SHA2-128f-simple,20750.340129473374,0.3615399999337872,16.996856450055017,31.588177916590503,112.20751500013648,0,False
SLH-DSA/SPHINCS+-SHA2-128f-simple,128,SPHINCS+-SHA2-128f-simple,20198.806191184278,0.36565333327113575,33.70961755021349,62.15452096674342,246.02359300024546,0,False
