profile,concurrency,delay_ms,worker,iter,http_code,time_connect,time_appconnect,time_starttransfer,time_total
X25519MLKEM768,128,0,100,1,200,0.014578,0.065487,0.073691,0.073710
X25519MLKEM768,128,0,100,2,200,0.000451,0.022744,0.032056,0.032078
X25519MLKEM768,128,0,100,3,200,0.008374,0.039299,0.050360,0.050380
X25519MLKEM768,128,0,100,4,200,0.001266,0.013992,0.027212,0.027228
X25519MLKEM768,128,0,100,5,200,0.015071,0.019983,0.024122,0.024138
X25519MLKEM768,128,0,100,6,200,0.016656,0.035260,0.051594,0.051609
X25519MLKEM768,128,0,100,7,200,0.007376,0.037427,0.058861,0.058876
X25519MLKEM768,128,0,100,8,200,0.024424,0.027557,0.046866,0.046881
X25519MLKEM768,128,0,100,9,200,0.026929,0.032627,0.048021,0.048073
X25519MLKEM768,128,0,100,10,200,0.011036,0.036070,0.058618,0.058646
X25519MLKEM768,128,0,100,11,200,0.035014,0.052905,0.065213,0.065229
X25519MLKEM768,128,0,100,12,200,0.000740,0.010464,0.025276,0.025292
X25519MLKEM768,128,0,100,13,200,0.020064,0.027287,0.049774,0.049791
X25519MLKEM768,128,0,100,14,200,0.023340,0.028834,0.055758,0.055773
X25519MLKEM768,128,0,100,15,200,0.001102,0.021015,0.036026,0.036066
X25519MLKEM768,128,0,100,16,200,0.078784,0.105803,0.122583,0.122598
X25519MLKEM768,128,0,100,17,200,0.059144,0.083237,0.096304,0.096319
X25519MLKEM768,128,0,100,18,200,0.017202,0.039604,0.049692,0.049708
X25519MLKEM768,128,0,100,19,200,0.079276,0.086240,0.106289,0.106306
X25519MLKEM768,128,0,100,20,200,0.010873,0.017700,0.032954,0.032968
X25519MLKEM768,128,0,100,21,200,0.007593,0.034217,0.048479,0.048495
X25519MLKEM768,128,0,100,22,200,0.021305,0.041404,0.050435,0.050451
X25519MLKEM768,128,0,100,23,200,0.025097,0.046840,0.064919,0.064935
X25519MLKEM768,128,0,100,24,200,0.006688,0.010178,0.027566,0.027581
X25519MLKEM768,128,0,100,25,200,0.078828,0.087693,0.104391,0.104408
X25519MLKEM768,128,0,100,26,200,0.014041,0.019207,0.038198,0.038214
X25519MLKEM768,128,0,100,27,200,0.096951,0.123671,0.143986,0.144000
X25519MLKEM768,128,0,100,28,200,0.026454,0.049622,0.069670,0.069686
X25519MLKEM768,128,0,100,29,200,0.105287,0.143508,0.155502,0.155516
