algorithm,resolved_algorithm,concurrency,verify_per_sec_mean,verify_per_sec_stdev,p50_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_max,total_verify_ops_sum,worker_errors_sum,requests_in_flight_max_max,latency_truncated_any,source_file
SLH-DSA,SPHINCS+-SHA2-128f-simple,1,3212.3262400291133,3.606810021870431,0.3106226668023737,0.32072966647926177,0.32668256707135396,0.8243080001193448,192743,0,1,False,/home/rebel/pqc-runs/single-node-slhdsa-verify-20260531_053747/raw/slhdsa_verify/single_node_slhdsa_verify_capacity_real_slhdsa_slh-dsa_c1.json
SLH-DSA,SPHINCS+-SHA2-128f-simple,8,22759.924079892226,70.94869829407462,0.34954966698326945,0.3685229997548352,0.37991531362422387,3.6181410005156067,1365635,0,8,False,/home/rebel/pqc-runs/single-node-slhdsa-verify-20260531_053747/raw/slhdsa_verify/single_node_slhdsa_verify_capacity_real_slhdsa_slh-dsa_c8.json
SLH-DSA,SPHINCS+-SHA2-128f-simple,16,32941.01569637741,367.42924290639075,0.484407666590414,0.5382716666038808,0.6150898333574631,4.509618999691156,1976552,0,16,False,/home/rebel/pqc-runs/single-node-slhdsa-verify-20260531_053747/raw/slhdsa_verify/single_node_slhdsa_verify_capacity_real_slhdsa_slh-dsa_c16.json
SLH-DSA,SPHINCS+-SHA2-128f-simple,32,36294.84382044095,68.98622171046739,0.8693773330984792,0.9685353164513799,1.026890033432816,11.873843999637756,2177856,0,32,False,/home/rebel/pqc-runs/single-node-slhdsa-verify-20260531_053747/raw/slhdsa_verify/single_node_slhdsa_verify_capacity_real_slhdsa_slh-dsa_c32.json
SLH-DSA,SPHINCS+-SHA2-128f-simple,64,35798.64823114911,291.66160841746097,0.9182046666561897,5.343886999738364,8.242927556605839,27.805002000604873,2148202,0,64,False,/home/rebel/pqc-runs/single-node-slhdsa-verify-20260531_053747/raw/slhdsa_verify/single_node_slhdsa_verify_capacity_real_slhdsa_slh-dsa_c64.json
SLH-DSA,SPHINCS+-SHA2-128f-simple,128,34565.39689459821,65.87850359186865,1.5562384996883338,12.33557151686,19.162848909942728,66.95050399957836,2074412,0,128,False,/home/rebel/pqc-runs/single-node-slhdsa-verify-20260531_053747/raw/slhdsa_verify/single_node_slhdsa_verify_capacity_real_slhdsa_slh-dsa_c128.json
