concurrency,repeats,ok_total,errors_total,requests_per_sec_mean,requests_per_sec_stdev,client_p99_ms_mean,server_p99_ms_mean,client_over_100ms_total,client_over_1000ms_total
1,3,108933,0,1815.55,6.814873439763916,0.6007953333333333,0.35440666666666665,0,0
8,3,424328,0,7072.133333333333,34.750731407170846,1.7330786666666667,0.7498166666666667,0,0
16,3,418864,0,6981.066666666667,98.26716559122514,4.277799666666667,1.811639,0,0
32,3,430608,0,7176.8,47.290300273946016,9.307673000000001,3.9586843333333332,0,0
64,3,439763,0,7329.383333333333,182.99088319731493,19.340981,7.473233333333333,0,0
128,3,448101,0,7468.349999999999,159.54551074850085,39.60885566666666,15.618701000000001,0,0
