profile,delay_ms,iter,http_code,time_connect,time_appconnect,time_starttransfer,time_total
X25519MLKEM768,0,1,200,0.000414,0.003786,0.005032,0.005055
X25519MLKEM768,0,2,200,0.000189,0.003260,0.004149,0.004170
X25519MLKEM768,0,3,200,0.000180,0.002789,0.003598,0.003623
X25519MLKEM768,0,4,200,0.000173,0.002770,0.003534,0.003550
X25519MLKEM768,0,5,200,0.000170,0.002790,0.003576,0.003594
X25519MLKEM768,0,6,200,0.000166,0.002753,0.003646,0.003664
X25519MLKEM768,0,7,200,0.000161,0.002694,0.003445,0.003462
X25519MLKEM768,0,8,200,0.000153,0.002685,0.003459,0.003479
X25519MLKEM768,0,9,200,0.000191,0.002709,0.003471,0.003488
X25519MLKEM768,0,10,200,0.000176,0.002651,0.003403,0.003419
X25519MLKEM768,0,11,200,0.000157,0.002659,0.003446,0.003466
X25519MLKEM768,0,12,200,0.000156,0.002662,0.003430,0.003449
X25519MLKEM768,0,13,200,0.000142,0.002598,0.003293,0.003310
X25519MLKEM768,0,14,200,0.000137,0.002616,0.003407,0.003425
X25519MLKEM768,0,15,200,0.000161,0.002679,0.003410,0.003429
X25519MLKEM768,0,16,200,0.000135,0.002779,0.003480,0.003496
X25519MLKEM768,0,17,200,0.000132,0.002628,0.003384,0.003400
X25519MLKEM768,0,18,200,0.000127,0.002639,0.003353,0.003368
X25519MLKEM768,0,19,200,0.000162,0.002672,0.003384,0.003401
X25519MLKEM768,0,20,200,0.000126,0.002661,0.003359,0.003375
X25519MLKEM768,0,21,200,0.000127,0.002645,0.003327,0.003343
X25519MLKEM768,0,22,200,0.000125,0.002643,0.003371,0.003387
X25519MLKEM768,0,23,200,0.000131,0.002632,0.003358,0.003374
X25519MLKEM768,0,24,200,0.000139,0.002653,0.003378,0.003397
X25519MLKEM768,0,25,200,0.000145,0.002606,0.003352,0.003367
X25519MLKEM768,0,26,200,0.000146,0.002610,0.003356,0.003374
X25519MLKEM768,0,27,200,0.000137,0.002619,0.003305,0.003319
X25519MLKEM768,0,28,200,0.000127,0.002701,0.003387,0.003406
X25519MLKEM768,0,29,200,0.000137,0.002712,0.003421,0.003437
X25519MLKEM768,0,30,200,0.000126,0.002705,0.003395,0.003411
X25519MLKEM768,0,31,200,0.000134,0.002719,0.003390,0.003406
X25519MLKEM768,0,32,200,0.000162,0.002664,0.003332,0.003348
X25519MLKEM768,0,33,200,0.000135,0.002623,0.003459,0.003475
X25519MLKEM768,0,34,200,0.000154,0.002632,0.003310,0.003326
X25519MLKEM768,0,35,200,0.000141,0.002724,0.003437,0.003454
X25519MLKEM768,0,36,200,0.000136,0.002673,0.003477,0.003493
X25519MLKEM768,0,37,200,0.000143,0.002688,0.003455,0.003471
X25519MLKEM768,0,38,200,0.000132,0.003014,0.003745,0.003761
X25519MLKEM768,0,39,200,0.000128,0.002718,0.003438,0.003452
X25519MLKEM768,0,40,200,0.000123,0.002505,0.003146,0.003161
X25519MLKEM768,0,41,200,0.000135,0.002466,0.003133,0.003148
X25519MLKEM768,0,42,200,0.000152,0.002410,0.003025,0.003055
X25519MLKEM768,0,43,200,0.000131,0.002329,0.003010,0.003025
X25519MLKEM768,0,44,200,0.000123,0.002275,0.002924,0.002943
X25519MLKEM768,0,45,200,0.000127,0.002425,0.003055,0.003072
