profile,concurrency,delay_ms,worker,iter,http_code,time_connect,time_appconnect,time_starttransfer,time_total
X25519MLKEM768,16,0,10,1,200,0.000847,0.004743,0.005958,0.005975
X25519MLKEM768,16,0,10,2,200,0.000433,0.007175,0.007933,0.007971
X25519MLKEM768,16,0,10,3,200,0.000194,0.004622,0.005575,0.005598
X25519MLKEM768,16,0,10,4,200,0.001245,0.004801,0.007447,0.007465
X25519MLKEM768,16,0,10,5,200,0.001293,0.006056,0.008722,0.008737
X25519MLKEM768,16,0,10,6,200,0.000601,0.004984,0.010356,0.010371
X25519MLKEM768,16,0,10,7,200,0.003432,0.006910,0.008873,0.008890
X25519MLKEM768,16,0,10,8,200,0.001081,0.003995,0.006102,0.006119
X25519MLKEM768,16,0,10,9,200,0.000709,0.006572,0.010779,0.010811
X25519MLKEM768,16,0,10,10,200,0.004017,0.006167,0.006754,0.006773
X25519MLKEM768,16,0,10,11,200,0.000100,0.009573,0.014104,0.014118
X25519MLKEM768,16,0,10,12,200,0.004882,0.007632,0.008614,0.008628
X25519MLKEM768,16,0,10,13,200,0.001850,0.004378,0.005883,0.005896
X25519MLKEM768,16,0,10,14,200,0.003836,0.007874,0.009798,0.009810
X25519MLKEM768,16,0,10,15,200,0.005353,0.009037,0.010265,0.010278
X25519MLKEM768,16,0,10,16,200,0.001681,0.004339,0.005979,0.005995
X25519MLKEM768,16,0,10,17,200,0.000102,0.008328,0.009199,0.009224
X25519MLKEM768,16,0,10,18,200,0.001142,0.005668,0.007508,0.007521
X25519MLKEM768,16,0,10,19,200,0.005020,0.008187,0.009946,0.009970
X25519MLKEM768,16,0,10,20,200,0.001796,0.005513,0.007639,0.007652
X25519MLKEM768,16,0,10,21,200,0.000096,0.005505,0.007241,0.007255
X25519MLKEM768,16,0,10,22,200,0.001452,0.005253,0.005991,0.006004
X25519MLKEM768,16,0,10,23,200,0.004033,0.007524,0.009305,0.009319
X25519MLKEM768,16,0,10,24,200,0.000947,0.006455,0.007866,0.007880
X25519MLKEM768,16,0,10,25,200,0.002400,0.004399,0.006626,0.006643
X25519MLKEM768,16,0,10,26,200,0.002021,0.007401,0.010048,0.010063
X25519MLKEM768,16,0,10,27,200,0.000472,0.006644,0.007999,0.008012
X25519MLKEM768,16,0,10,28,200,0.001671,0.004057,0.004686,0.004698
X25519MLKEM768,16,0,10,29,200,0.000587,0.004347,0.009409,0.009422
X25519MLKEM768,16,0,10,30,200,0.001353,0.007447,0.008878,0.008891
X25519MLKEM768,16,0,10,31,200,0.005379,0.008672,0.009594,0.009607
X25519MLKEM768,16,0,10,32,200,0.000103,0.003746,0.008429,0.008451
X25519MLKEM768,16,0,10,33,200,0.000094,0.002295,0.004692,0.004705
X25519MLKEM768,16,0,10,34,200,0.000888,0.003442,0.004785,0.004801
X25519MLKEM768,16,0,10,35,200,0.001206,0.004488,0.006414,0.006431
